GameID,RentalDate,ReturnDate,RentedCustomerID
hk02,2023-09-05,2023-09-13,slep
cod04,2023-09-07,2023-09-13,pors
terr09,2023-09-07,2023-09-14,pors
cod02,2023-09-07,2023-09-19,abxy
cod01,2023-09-08,2023-09-22,slep
terr10,2023-09-09,2023-09-17,abxy
terr06,2023-09-09,2023-09-22,oila
fifa01,2023-09-11,2023-09-13,utal
mhw03,2023-09-12,2023-09-19,slep
ark01,2023-09-13,2023-09-26,xint
fifa03,2023-09-14,2023-09-22,slep
terr02,2023-09-16,2023-09-18,pors
mc10,2023-09-18,2023-10-01,slep
cod15,2023-09-19,2023-09-22,pors
mc12,2023-09-19,2023-09-23,oila
terr10,2023-09-19,2023-09-29,abxy
mhw03,2023-09-22,2023-09-27,cert
cod04,2023-09-24,2023-09-30,abxy
mhw02,2023-09-25,2023-09-30,puya
fifa06,2023-09-25,2023-09-28,grum
hk02,2023-09-25,2023-10-02,puya
terr06,2023-09-25,2023-09-29,raln
drg01,2023-09-26,2023-10-03,slep
fifa01,2023-09-28,2023-10-12,grum
fifa06,2023-09-29,2023-10-07,iode
cod02,2023-10-01,2023-10-14,slep
mc12,2023-10-02,2023-10-11,utal
terr05,2023-10-03,2023-10-07,jimm
mhw01,2023-10-04,2023-10-10,slep
mc01,2023-10-04,2023-10-09,bigi
mhw08,2023-10-05,2023-10-08,utal
mc14,2023-10-06,2023-10-12,raln
terr06,2023-10-06,2023-10-15,pors
fifa09,2023-10-06,2023-10-16,slep
ark02,2023-10-06,2023-10-15,grum
fifa10,2023-10-07,2023-10-20,slep
fifa04,2023-10-08,2023-10-08,bigi
hk07,2023-10-08,2023-10-12,bigi
mc10,2023-10-09,2023-10-10,oila
cod04,2023-10-09,2023-10-18,slep
hk03,2023-10-10,2023-10-15,abxy
fifa03,2023-10-13,2023-10-24,pors
drg08,2023-10-13,2023-10-19,abxy
drg05,2023-10-14,2023-10-26,xint
drg02,2023-10-14,2023-10-14,oila
mhw03,2023-10-14,2023-10-16,utal
mhw11,2023-10-14,2023-10-19,utal
mc06,2023-10-16,2023-10-24,jimm
hk01,2023-10-16,2023-10-20,utal
cod03,2023-10-17,2023-10-25,oila
terr09,2023-10-17,2023-10-23,xint
mhw13,2023-10-17,2023-10-27,jimm
mc01,2023-10-17,2023-10-20,xint
mhw03,2023-10-18,2023-10-27,bigi
cod07,2023-10-19,2023-10-26,jimm
mc13,2023-10-20,2023-10-21,xint
terr10,2023-10-20,2023-10-25,oila
drg08,2023-10-20,2023-11-02,pors
cod02,2023-10-20,2023-11-03,bigi
ark05,2023-10-20,2023-10-27,utal
hk07,2023-10-21,2023-11-01,iode
terr02,2023-10-21,2023-10-27,bigi
mhw08,2023-10-22,2023-11-03,slep
mhw11,2023-10-22,2023-10-28,iode
ark06,2023-10-23,2023-10-26,utal
cod10,2023-10-24,2023-10-25,jimm
drg09,2023-10-24,2023-10-31,slep
fifa08,2023-10-25,2023-11-05,abxy
ark08,2023-10-26,2023-11-06,abxy
fifa09,2023-10-26,2023-10-28,cyje
fifa10,2023-10-26,2023-11-02,pors
fifa01,2023-10-28,2023-11-09,jimm
mc08,2023-10-28,2023-11-03,xint
cod07,2023-10-28,2023-10-29,slep
mc14,2023-10-28,2023-11-10,cyje
fifa04,2023-10-28,2023-10-31,plox
mhw02,2023-10-29,2023-11-05,plox
hk01,2023-10-30,2023-11-07,iode
ark02,2023-10-30,2023-11-11,cyje
mc12,2023-10-31,2023-11-02,buck
mc05,2023-11-01,2023-11-09,bigi
mc13,2023-11-01,2023-11-10,cyje
mhw11,2023-11-03,2023-11-09,pors
ark09,2023-11-04,2023-11-17,xint
mhw01,2023-11-07,2023-11-18,jimm
cod10,2023-11-07,2023-11-10,cyje
hk03,2023-11-07,2023-11-13,abxy
cod07,2023-11-08,2023-11-17,xint
cod06,2023-11-08,2023-11-14,abxy
mhw08,2023-11-10,2023-11-10,cyje
mc08,2023-11-10,2023-11-18,slep
cod05,2023-11-10,2023-11-24,oila
mc01,2023-11-11,2023-11-16,cyje
hk02,2023-11-11,2023-11-20,xint
fifa08,2023-11-11,2023-11-15,jimm
mhw03,2023-11-11,2023-11-12,jimm
drg02,2023-11-12,2023-11-19,buck
cod13,2023-11-12,2023-11-16,bigi
drg01,2023-11-12,2023-11-15,bigi
mhw12,2023-11-13,2023-11-27,slep
mc06,2023-11-13,2023-11-23,utal
fifa01,2023-11-14,2023-11-16,pors
mhw03,2023-11-14,2023-11-16,oila
hk01,2023-11-14,2023-11-16,abxy
ark08,2023-11-16,2023-11-17,iode
mc11,2023-11-17,2023-11-25,slep
mc17,2023-11-17,2023-11-29,xint
cod08,2023-11-17,2023-11-24,oila
fifa09,2023-11-17,2023-11-30,abxy
cod12,2023-11-17,2023-11-30,pors
terr07,2023-11-17,2023-11-18,abxy
mc01,2023-11-19,2023-11-28,xint
mhw11,2023-11-20,2023-11-23,abxy
mhw08,2023-11-21,2023-11-29,bigi
ark06,2023-11-22,2023-11-27,cyje
mhw11,2023-11-24,2023-11-29,slep
fifa08,2023-11-24,2023-11-27,buck
fifa04,2023-11-24,2023-12-04,utal
hk07,2023-11-25,2023-12-03,slep
cod03,2023-11-25,2023-11-26,oila
mc13,2023-11-26,2023-11-29,abxy
mc06,2023-11-26,2023-11-30,pors
hk09,2023-11-26,2023-11-30,bigi
drg03,2023-11-27,2023-12-11,utal
cod02,2023-11-27,2023-11-30,bigi
cod11,2023-11-27,2023-11-29,slep
mhw06,2023-11-27,2023-12-10,xint
mc09,2023-11-28,2023-12-02,slep
cod06,2023-11-28,2023-12-09,jimm
mhw07,2023-11-28,2023-12-05,xint
ark03,2023-11-28,2023-12-02,oila
hk01,2023-11-30,2023-12-13,utal
hk08,2023-11-30,2023-12-05,buck
drg08,2023-11-30,2023-12-07,utal
mc07,2023-11-30,2023-12-03,bigi
cod08,2023-12-01,2023-12-04,utal
mhw09,2023-12-01,2023-12-06,xint
cod03,2023-12-01,2023-12-11,pors
mhw08,2023-12-01,2023-12-04,buck
cod05,2023-12-03,,utal
cod02,2023-12-04,,slep
mc05,2023-12-04,2023-12-06,jimm
terr02,2023-12-04,2023-12-12,utal
cod12,2023-12-05,,bigi
ark02,2023-12-05,2023-12-07,oila
ark05,2023-12-06,,oila
ark07,2023-12-06,2023-12-09,pors
fifa10,2023-12-07,2023-12-08,slep
terr12,2023-12-08,,trin
ark01,2023-12-09,,xint
drg09,2023-12-09,2023-12-11,oila
mc03,2023-12-10,,slep
terr05,2023-12-10,,trin
hk10,2023-12-11,2023-12-11,buck
mc08,2023-12-12,,utal
mc07,2023-12-12,,jimm
cod15,2023-12-13,,slep
mc04,2023-12-13,,jimm
