CustomerID,SubscriptionType,StartDate,EndDate
abxy,Basic,2023-08-16,2023-12-02
bigi,Premium,2023-09-29,2024-02-24
plox,Basic,2023-10-28,2023-11-06
grum,Basic,2023-09-24,2023-10-15
slep,Premium,2023-08-27,2023-12-22
oila,Basic,2023-08-28,2024-01-13
ares,Premium,2023-08-19,2023-09-21
lous,Premium,2023-09-26,2023-10-04
buck,Basic,2023-10-26,2024-01-04
trin,Basic,2023-11-30,2023-12-28
xint,Premium,2023-08-29,2024-01-30
puya,Basic,2023-09-25,2023-10-09
jimm,Premium,2023-09-29,2023-12-29
utal,Premium,2023-08-30,2023-12-30
raln,Basic,2023-08-27,2023-10-23
cert,Basic,2023-09-16,2023-09-30
pors,Basic,2023-08-17,2024-01-13
yoes,Premium,2023-10-29,2023-11-12
cyje,Premium,2023-10-24,2023-12-05
iode,Basic,2023-09-26,2023-11-24
